"event_message","event_type","function_id","id","level","timestamp"
"shutdown","Shutdown","c5c7c71e-0893-47d5-bce5-45e937e3c2bc","6912f93b-f025-4cdd-849c-ded88b8a450f","log","1734054698684479"
"shutdown","Shutdown","c5c7c71e-0893-47d5-bce5-45e937e3c2bc","a280c32c-7099-48ac-b366-4b070d1fb23c","log","1734054698307403"
"shutdown","Shutdown","c5c7c71e-0893-47d5-bce5-45e937e3c2bc","71f6aef6-fefc-4a94-9743-74f263040a83","log","1734054695808678"
"shutdown","Shutdown","c5c7c71e-0893-47d5-bce5-45e937e3c2bc","418cd7aa-5ef4-48ff-b1d6-55300d6b954d","log","1734054694311682"
"Successfully processed invoice payment
","Log","c5c7c71e-0893-47d5-bce5-45e937e3c2bc","f0fba4b5-80d5-4f76-985f-cae23212ce89","log","1734054548662175"
"Successfully updated subscription status
","Log","c5c7c71e-0893-47d5-bce5-45e937e3c2bc","e441fbd3-c23a-4735-ab9c-a95afda3e3ea","log","1734054548662021"
"Subscription details: {
  "id": "sub_1QVNzzRxeyQrsSA7PmgmjWsO",
  "object": "subscription",
  "application": null,
  "application_fee_percent": null,
  "automatic_tax": {
    "disabled_reason": null,
    "enabled": true,
    "liability": {
      "type": "self"
    }
  },
  "billing_cycle_anchor": 1734054539,
  "billing_cycle_anchor_config": null,
  "billing_thresholds": null,
  "cancel_at": null,
  "cancel_at_period_end": false,
  "canceled_at": null,
  "cancellation_details": {
    "comment": null,
    "feedback": null,
    "reason": null
  },
  "collection_method": "charge_automatically",
  "created": 1734054539,
  "currency": "usd",
  "current_period_end": 1736732939,
  "current_period_start": 1734054539,
  "customer": "cus_ROAKzij01Yp5uk",
  "days_until_due": null,
  "default_payment_method": "pm_1QVNzyRxeyQrsSA7HG7QmvG2",
  "default_source": null,
  "default_tax_rates": [],
  "description": null,
  "discount": null,
  "discounts": [],
  "ended_at": null,
  "invoice_settings": {
    "account_tax_ids": null,
    "issuer": {
      "type": "self"
    }
  },
  "items": {
    "object": "list",
    "data": [
      {
        "id": "si_ROAKGWDo1TSEQf",
        "object": "subscription_item",
        "billing_thresholds": null,
        "created": 1734054539,
        "discounts": [],
        "metadata": {},
        "plan": {
          "id": "price_1QSAgsRxeyQrsSA7l4FWfeNc",
          "object": "plan",
          "active": true,
          "aggregate_usage": null,
          "amount": 199,
          "amount_decimal": "199",
          "billing_scheme": "per_unit",
          "created": 1733288398,
          "currency": "usd",
          "interval": "month",
          "interval_count": 1,
          "livemode": false,
          "metadata": {},
          "meter": null,
          "nickname": null,
          "product": "prod_RKqNhsUp0RFltH",
          "tiers_mode": null,
          "transform_usage": null,
          "trial_period_days": null,
          "usage_type": "licensed"
        },
        "price": {
          "id": "price_1QSAgsRxeyQrsSA7l4FWfeNc",
          "object": "price",
          "active": true,
          "billing_scheme": "per_unit",
          "created": 1733288398,
          "currency": "usd",
          "custom_unit_amount": null,
          "livemode": false,
          "lookup_key": null,
          "metadata": {},
          "nickname": null,
          "product": "prod_RKqNhsUp0RFltH",
          "recurring": {
            "aggregate_usage": null,
            "interval": "month",
            "interval_count": 1,
            "meter": null,
            "trial_period_days": null,
            "usage_type": "licensed"
          },
          "tax_behavior": "unspecified",
          "tiers_mode": null,
          "transform_quantity": null,
          "type": "recurring",
          "unit_amount": 199,
          "unit_amount_decimal": "199"
        },
        "quantity": 1,
        "subscription": "sub_1QVNzzRxeyQrsSA7PmgmjWsO",
        "tax_rates": []
      }
    ],
    "has_more": false,
    "total_count": 1,
    "url": "/v1/subscription_items?subscription=sub_1QVNzzRxeyQrsSA7PmgmjWsO"
  },
  "latest_invoice": "in_1QVNzzRxeyQrsSA7eOdGLS68",
  "livemode": false,
  "metadata": {},
  "next_pending_invoice_item_invoice": null,
  "on_behalf_of": null,
  "pause_collection": null,
  "payment_settings": {
    "payment_method_options": {
      "acss_debit": null,
      "bancontact": null,
      "card": {
        "network": null,
        "request_three_d_secure": "automatic"
      },
      "customer_balance": null,
      "konbini": null,
      "sepa_debit": null,
      "us_bank_account": null
    },
    "payment_method_types": null,
    "save_default_payment_method": "off"
  },
  "pending_invoice_item_interval": null,
  "pending_setup_intent": null,
